144;AMPERE -R (Sys 2);A;N;month
144;AMPERE -S (Sys 2);A;N;month
144;AMPERE -T (Sys 2);A;N;month
145;AMPERE -R (Sys 2);A;N;month
145;AMPERE -S (Sys 2);A;N;month
145;AMPERE -T (Sys 2);A;N;month
151;AMPERE -R (Sys 2);A;N;month
151;AMPERE -S (Sys 2);A;N;month
151;AMPERE -T (Sys 2);A;N;month
152;AMPERE -R (Sys 2);A;N;month
152;AMPERE -S (Sys 2);A;N;month
152;AMPERE -T (Sys 2);A;N;month
153;AMPERE -R (Sys 2);A;N;month
153;AMPERE -S (Sys 2);A;N;month
153;AMPERE -T (Sys 2);A;N;month
154;AMPERE -R (Sys 2);A;N;month
154;AMPERE -S (Sys 2);A;N;month
154;AMPERE -T (Sys 2);A;N;month
155;AMPERE -R (Sys 2);A;N;month
155;AMPERE -S (Sys 2);A;N;month
155;AMPERE -T (Sys 2);A;N;month
156;AMPERE -R (Sys 2);A;N;month
156;AMPERE -S (Sys 2);A;N;month
156;AMPERE -T (Sys 2);A;N;month
157;AMPERE -R (Sys 2);A;N;month
157;AMPERE -S (Sys 2);A;N;month
157;AMPERE -T (Sys 2);A;N;month
174;AMPERE -R (Sys 2);A;N;month
174;AMPERE -S (Sys 2);A;N;month
174;AMPERE -T (Sys 2);A;N;month
175;AMPERE -R (Sys 2);A;N;month
175;AMPERE -S (Sys 2);A;N;month
175;AMPERE -T (Sys 2);A;N;month
